Program,Year,State,State ANSI,County,County ANSI,FIPS,Commodity,Data Item,Value
SURVEY,2014,GEORGIA,13,APPLING,1,13001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",156.6
SURVEY,2014,GEORGIA,13,APPLING,1,13001,COTTON,"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",794
SURVEY,2014,GEORGIA,13,APPLING,1,13001,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",3339
SURVEY,2014,GEORGIA,13,APPLING,1,13001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",36.3
SURVEY,2014,NORTH CAROLINA,37,ALAMANCE,1,37001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",35.3
SURVEY,2013,GEORGIA,13,APPLING,1,13001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",200
SURVEY,2013,GEORGIA,13,APPLING,1,13001,COTTON,"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",753
SURVEY,2013,GEORGIA,13,APPLING,1,13001,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",3918
SURVEY,2013,GEORGIA,13,APPLING,1,13001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",36.3
SURVEY,2013,NORTH CAROLINA,37,ALAMANCE,1,37001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",121.4
SURVEY,2013,NORTH CAROLINA,37,ALAMANCE,1,37001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",35.5
SURVEY,2012,GEORGIA,13,APPLING,1,13001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",125
SURVEY,2012,GEORGIA,13,APPLING,1,13001,COTTON,"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",1033
SURVEY,2012,GEORGIA,13,APPLING,1,13001,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",4422
SURVEY,2012,GEORGIA,13,APPLING,1,13001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",37.3
SURVEY,2012,NORTH CAROLINA,37,ALAMANCE,1,37001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",60
SURVEY,2012,NORTH CAROLINA,37,ALAMANCE,1,37001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",38.8
SURVEY,2011,GEORGIA,13,APPLING,1,13001,COTTON,"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",726
SURVEY,2011,GEORGIA,13,APPLING,1,13001,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",3465
SURVEY,2011,NORTH CAROLINA,37,ALAMANCE,1,37001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",77.9
SURVEY,2011,NORTH CAROLINA,37,ALAMANCE,1,37001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",22.5
SURVEY,2010,GEORGIA,13,APPLING,1,13001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",93
SURVEY,2010,GEORGIA,13,APPLING,1,13001,COTTON,"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",665
SURVEY,2010,GEORGIA,13,APPLING,1,13001,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",2620
SURVEY,2010,GEORGIA,13,APPLING,1,13001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",22.1
SURVEY,2010,NORTH CAROLINA,37,ALAMANCE,1,37001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",70.3
SURVEY,2010,NORTH CAROLINA,37,ALAMANCE,1,37001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",25.8
SURVEY,2009,GEORGIA,13,APPLING,1,13001,COTTON,"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",867
SURVEY,2009,NORTH CAROLINA,37,ALAMANCE,1,37001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",86
SURVEY,2009,NORTH CAROLINA,37,ALAMANCE,1,37001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",24.5
SURVEY,2008,GEORGIA,13,APPLING,1,13001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",79
SURVEY,2008,GEORGIA,13,APPLING,1,13001,COTTON,"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",979
SURVEY,2008,GEORGIA,13,APPLING,1,13001,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",2795
SURVEY,2008,NORTH CAROLINA,37,ALAMANCE,1,37001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",82
SURVEY,2008,NORTH CAROLINA,37,ALAMANCE,1,37001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",32
SURVEY,2007,GEORGIA,13,APPLING,1,13001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",70
SURVEY,2007,GEORGIA,13,APPLING,1,13001,COTTON,"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",759
SURVEY,2007,GEORGIA,13,APPLING,1,13001,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",2845
SURVEY,2007,GEORGIA,13,APPLING,1,13001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",35
SURVEY,2007,NORTH CAROLINA,37,ALAMANCE,1,37001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",80
SURVEY,2007,NORTH CAROLINA,37,ALAMANCE,1,37001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",10
SURVEY,2006,GEORGIA,13,APPLING,1,13001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",78
SURVEY,2006,GEORGIA,13,APPLING,1,13001,COTTON,"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",672
SURVEY,2006,GEORGIA,13,APPLING,1,13001,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",2360
SURVEY,2006,GEORGIA,13,APPLING,1,13001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",30
SURVEY,2006,NORTH CAROLINA,37,ALAMANCE,1,37001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",126
SURVEY,2006,NORTH CAROLINA,37,ALAMANCE,1,37001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",32
SURVEY,2005,GEORGIA,13,APPLING,1,13001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",101
SURVEY,2005,GEORGIA,13,APPLING,1,13001,COTTON,"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",789
SURVEY,2005,GEORGIA,13,APPLING,1,13001,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",2835
SURVEY,2005,GEORGIA,13,APPLING,1,13001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",30
SURVEY,2005,NORTH CAROLINA,37,ALAMANCE,1,37001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",100
SURVEY,2005,NORTH CAROLINA,37,ALAMANCE,1,37001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",25
SURVEY,2005,SOUTH CAROLINA,45,ABBEVILLE,1,45001,COTTON,"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",960
SURVEY,2004,GEORGIA,13,APPLING,1,13001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",74
SURVEY,2004,GEORGIA,13,APPLING,1,13001,COTTON,"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",596
SURVEY,2004,GEORGIA,13,APPLING,1,13001,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",3065
SURVEY,2004,GEORGIA,13,APPLING,1,13001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",32
SURVEY,2004,NORTH CAROLINA,37,ALAMANCE,1,37001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",99
SURVEY,2004,NORTH CAROLINA,37,ALAMANCE,1,37001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",36
SURVEY,2003,GEORGIA,13,APPLING,1,13001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",90
SURVEY,2003,GEORGIA,13,APPLING,1,13001,COTTON,"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",719
SURVEY,2003,GEORGIA,13,APPLING,1,13001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",31
SURVEY,2003,NORTH CAROLINA,37,ALAMANCE,1,37001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",103
SURVEY,2003,NORTH CAROLINA,37,ALAMANCE,1,37001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",29
SURVEY,2003,SOUTH CAROLINA,45,ABBEVILLE,1,45001,COTTON,"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",480
SURVEY,2002,GEORGIA,13,APPLING,1,13001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",83
SURVEY,2002,GEORGIA,13,APPLING,1,13001,COTTON,"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",592
SURVEY,2002,GEORGIA,13,APPLING,1,13001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",25
SURVEY,2002,NORTH CAROLINA,37,ALAMANCE,1,37001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",32
SURVEY,2002,NORTH CAROLINA,37,ALAMANCE,1,37001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",23
SURVEY,2001,GEORGIA,13,APPLING,1,13001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",77
SURVEY,2001,GEORGIA,13,APPLING,1,13001,COTTON,"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",701
SURVEY,2001,GEORGIA,13,APPLING,1,13001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",25
SURVEY,2001,NORTH CAROLINA,37,ALAMANCE,1,37001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",106
SURVEY,2001,NORTH CAROLINA,37,ALAMANCE,1,37001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",31
SURVEY,2000,GEORGIA,13,APPLING,1,13001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",42
SURVEY,2000,GEORGIA,13,APPLING,1,13001,COTTON,"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",617
SURVEY,2000,GEORGIA,13,APPLING,1,13001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",27
SURVEY,2000,NORTH CAROLINA,37,ALAMANCE,1,37001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",111
SURVEY,2000,NORTH CAROLINA,37,ALAMANCE,1,37001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",34
SURVEY,1999,GEORGIA,13,APPLING,1,13001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",40
SURVEY,1999,GEORGIA,13,APPLING,1,13001,COTTON,"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",579
SURVEY,1999,GEORGIA,13,APPLING,1,13001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",25
SURVEY,1999,NORTH CAROLINA,37,ALAMANCE,1,37001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",65
SURVEY,1999,NORTH CAROLINA,37,ALAMANCE,1,37001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",23
SURVEY,1998,GEORGIA,13,APPLING,1,13001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",20.5
SURVEY,1998,GEORGIA,13,APPLING,1,13001,COTTON,"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",564
SURVEY,1998,GEORGIA,13,APPLING,1,13001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",19.2
SURVEY,1998,NORTH CAROLINA,37,ALAMANCE,1,37001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",40
SURVEY,1998,NORTH CAROLINA,37,ALAMANCE,1,37001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",22
SURVEY,1997,GEORGIA,13,APPLING,1,13001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",75
SURVEY,1997,GEORGIA,13,APPLING,1,13001,COTTON,"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",712
SURVEY,1997,GEORGIA,13,APPLING,1,13001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",21.4
SURVEY,1997,NORTH CAROLINA,37,ALAMANCE,1,37001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",79
SURVEY,1997,NORTH CAROLINA,37,ALAMANCE,1,37001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",27
SURVEY,1996,GEORGIA,13,APPLING,1,13001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",71.3
SURVEY,1996,GEORGIA,13,APPLING,1,13001,COTTON,"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",738
SURVEY,1996,GEORGIA,13,APPLING,1,13001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",29
SURVEY,1996,NORTH CAROLINA,37,ALAMANCE,1,37001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",79
SURVEY,1996,NORTH CAROLINA,37,ALAMANCE,1,37001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",28
SURVEY,1996,SOUTH CAROLINA,45,ABBEVILLE,1,45001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",25
SURVEY,1995,GEORGIA,13,APPLING,1,13001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",84.6
SURVEY,1995,GEORGIA,13,APPLING,1,13001,COTTON,"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",550
SURVEY,1995,GEORGIA,13,APPLING,1,13001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",30
SURVEY,1995,NORTH CAROLINA,37,ALAMANCE,1,37001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",104
SURVEY,1995,NORTH CAROLINA,37,ALAMANCE,1,37001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",29
SURVEY,1994,GEORGIA,13,APPLING,1,13001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",101.6
SURVEY,1994,GEORGIA,13,APPLING,1,13001,COTTON,"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",794
SURVEY,1994,GEORGIA,13,APPLING,1,13001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",32.2
SURVEY,1994,NORTH CAROLINA,37,ALAMANCE,1,37001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",86
SURVEY,1994,NORTH CAROLINA,37,ALAMANCE,1,37001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",32
SURVEY,1993,GEORGIA,13,APPLING,1,13001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",58.9
SURVEY,1993,GEORGIA,13,APPLING,1,13001,COTTON,"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",666
SURVEY,1993,GEORGIA,13,APPLING,1,13001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",20.8
SURVEY,1993,NORTH CAROLINA,37,ALAMANCE,1,37001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",48
SURVEY,1993,NORTH CAROLINA,37,ALAMANCE,1,37001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",24
SURVEY,1992,GEORGIA,13,APPLING,1,13001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",100.2
SURVEY,1992,GEORGIA,13,APPLING,1,13001,COTTON,"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",708
SURVEY,1992,GEORGIA,13,APPLING,1,13001,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",2770
SURVEY,1992,GEORGIA,13,APPLING,1,13001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",30.6
SURVEY,1992,NORTH CAROLINA,37,ALAMANCE,1,37001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",85
SURVEY,1992,NORTH CAROLINA,37,ALAMANCE,1,37001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",22
SURVEY,1992,NORTH CAROLINA,37,ALAMANCE,1,37001,SWEET POTATOES,"SWEET POTATOES - YIELD, MEASURED IN CWT / ACRE",80
SURVEY,1992,SOUTH CAROLINA,45,ABBEVILLE,1,45001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",19.4
SURVEY,1991,GEORGIA,13,APPLING,1,13001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",91
SURVEY,1991,GEORGIA,13,APPLING,1,13001,COTTON,"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",704
SURVEY,1991,GEORGIA,13,APPLING,1,13001,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",2300
SURVEY,1991,GEORGIA,13,APPLING,1,13001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",30.1
SURVEY,1991,NORTH CAROLINA,37,ALAMANCE,1,37001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",85
SURVEY,1991,NORTH CAROLINA,37,ALAMANCE,1,37001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",22
SURVEY,1991,NORTH CAROLINA,37,ALAMANCE,1,37001,SWEET POTATOES,"SWEET POTATOES - YIELD, MEASURED IN CWT / ACRE",110
SURVEY,1991,SOUTH CAROLINA,45,ABBEVILLE,1,45001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",23
SURVEY,1990,GEORGIA,13,APPLING,1,13001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",24.5
SURVEY,1990,GEORGIA,13,APPLING,1,13001,COTTON,"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",477
SURVEY,1990,GEORGIA,13,APPLING,1,13001,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",2190
SURVEY,1990,GEORGIA,13,APPLING,1,13001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",14.7
SURVEY,1990,NORTH CAROLINA,37,ALAMANCE,1,37001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",82
SURVEY,1990,NORTH CAROLINA,37,ALAMANCE,1,37001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",22
SURVEY,1990,NORTH CAROLINA,37,ALAMANCE,1,37001,SWEET POTATOES,"SWEET POTATOES - YIELD, MEASURED IN CWT / ACRE",115
SURVEY,1990,SOUTH CAROLINA,45,ABBEVILLE,1,45001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",18.2
SURVEY,1989,GEORGIA,13,APPLING,1,13001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",82.8
SURVEY,1989,GEORGIA,13,APPLING,1,13001,COTTON,"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",502
SURVEY,1989,GEORGIA,13,APPLING,1,13001,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",2930
SURVEY,1989,GEORGIA,13,APPLING,1,13001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",30.8
SURVEY,1989,NORTH CAROLINA,37,ALAMANCE,1,37001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",76
SURVEY,1989,NORTH CAROLINA,37,ALAMANCE,1,37001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",29
SURVEY,1989,NORTH CAROLINA,37,ALAMANCE,1,37001,SWEET POTATOES,"SWEET POTATOES - YIELD, MEASURED IN CWT / ACRE",105
SURVEY,1989,SOUTH CAROLINA,45,ABBEVILLE,1,45001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",23.5
SURVEY,1988,GEORGIA,13,APPLING,1,13001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",45.4
SURVEY,1988,GEORGIA,13,APPLING,1,13001,COTTON,"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",519
SURVEY,1988,GEORGIA,13,APPLING,1,13001,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",2855
SURVEY,1988,GEORGIA,13,APPLING,1,13001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",26.8
SURVEY,1988,NORTH CAROLINA,37,ALAMANCE,1,37001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",58
SURVEY,1988,NORTH CAROLINA,37,ALAMANCE,1,37001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",25
SURVEY,1988,NORTH CAROLINA,37,ALAMANCE,1,37001,SWEET POTATOES,"SWEET POTATOES - YIELD, MEASURED IN CWT / ACRE",100
SURVEY,1988,SOUTH CAROLINA,45,ABBEVILLE,1,45001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",13.4
SURVEY,1987,GEORGIA,13,APPLING,1,13001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",84.2
SURVEY,1987,GEORGIA,13,APPLING,1,13001,COTTON,"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",471
SURVEY,1987,GEORGIA,13,APPLING,1,13001,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",2590
SURVEY,1987,GEORGIA,13,APPLING,1,13001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",24
SURVEY,1987,NORTH CAROLINA,37,ALAMANCE,1,37001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",39
SURVEY,1987,NORTH CAROLINA,37,ALAMANCE,1,37001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",20
SURVEY,1987,NORTH CAROLINA,37,ALAMANCE,1,37001,SWEET POTATOES,"SWEET POTATOES - YIELD, MEASURED IN CWT / ACRE",100
SURVEY,1987,SOUTH CAROLINA,45,ABBEVILLE,1,45001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",10.6
SURVEY,1986,GEORGIA,13,APPLING,1,13001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",30
SURVEY,1986,GEORGIA,13,APPLING,1,13001,COTTON,"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",519
SURVEY,1986,GEORGIA,13,APPLING,1,13001,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",3330
SURVEY,1986,GEORGIA,13,APPLING,1,13001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",22.1
SURVEY,1986,NORTH CAROLINA,37,ALAMANCE,1,37001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",45
SURVEY,1986,NORTH CAROLINA,37,ALAMANCE,1,37001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",20
SURVEY,1986,NORTH CAROLINA,37,ALAMANCE,1,37001,SWEET POTATOES,"SWEET POTATOES - YIELD, MEASURED IN CWT / ACRE",115
SURVEY,1986,SOUTH CAROLINA,45,ABBEVILLE,1,45001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",53.5
SURVEY,1986,SOUTH CAROLINA,45,ABBEVILLE,1,45001,COTTON,"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",248
SURVEY,1986,SOUTH CAROLINA,45,ABBEVILLE,1,45001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",11.5
SURVEY,1985,GEORGIA,13,APPLING,1,13001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",77.1
SURVEY,1985,GEORGIA,13,APPLING,1,13001,COTTON,"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",615
SURVEY,1985,GEORGIA,13,APPLING,1,13001,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",3735
SURVEY,1985,GEORGIA,13,APPLING,1,13001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",26.9
SURVEY,1985,NORTH CAROLINA,37,ALAMANCE,1,37001,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",74
